sep=,
"ID","Title","Created By","Created On","Estimate","Expected Result","Forecast","Preconditions","Priority","References","Section","Section Depth","Section Description","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Shared step ID)","Steps (Step)","Suite","Suite ID","Type","Updated By","Updated On"
"C2557","Регистрация продавца","Evgeniy Prokhorov","9/11/2022 9:03 AM","","","","Зайти на сайт https://aliexpress.ru/","High","","Регистрация","0","","1. Кликнуть на выпадающий список ""Продавайте на AliExpress"".


Expected Result:
В выпадающем списке появляются 2 вкладки.
2. Кликнуть из списка: стать продавцом.
Expected Result:
Открывается новая вкладка с предложением открыть магазин.
3. Кликнуть на кнопку открыть магазин.
Expected Result:
Открывается новая вкладка с 3 формами для регистрации.
4. Заполнить формы случайно-интуитивным образом. 

Поскольку нет возможности для позитивного сценария, нужно тестировать негативный.
Expected Result:
Сайт не должен допустить некорректную регистрацию и указать где именно совершена ошибка пользователем.","","","В выпадающем списке появляются 2 вкладки.","","","Кликнуть на выпадающий список "Продавайте на AliExpress".

","Master","S9","Smoke & Sanity","Evgeniy Prokhorov","9/11/2022 6:51 PM"
"","","","","","","","","","","","","","","","","Открывается новая вкладка с предложением открыть магазин.","","","Кликнуть из списка: стать продавцом.","","","","",""
"","","","","","","","","","","","","","","","","Открывается новая вкладка с 3 формами для регистрации.","","","Кликнуть на кнопку открыть магазин.","","","","",""
"","","","","","","","","","","","","","","","","Сайт не должен допустить некорректную регистрацию и указать где именно совершена ошибка пользователем.","","","Заполнить формы случайно-интуитивным образом. 

Поскольку нет возможности для позитивного сценария, нужно тестировать негативный.","","","","",""
"C2559","Наличие приложения в appstore","Evgeniy Prokhorov","9/11/2022 1:24 PM","","","","Зайти на сайт https://aliexpress.ru/","High","","Проверка наличия мобильных приложений","1","Здесь будут описаны тест-кейсы для проверки наличия мобильных приложений в appstore и play market.","1. Нажать кнопку ""приложение"" в заголовке сайта
Expected Result:
Переход на вкладку с предложением скачать на различных площадках.
2. Проверить обе кнопки, которые должны переадресовывать на страницу appstore с приложением AliExpress
Expected Result:
Переход на appstore, где предложат скачать приложение на мобильное устройство.","","","Переход на вкладку с предложением скачать на различных площадках.","","","Нажать кнопку "приложение" в заголовке сайта","Master","S9","Accessibility","Evgeniy Prokhorov","9/11/2022 6:52 PM"
"","","","","","","","","","","","","","","","","Переход на appstore, где предложат скачать приложение на мобильное устройство.","","","Проверить обе кнопки, которые должны переадресовывать на страницу appstore с приложением AliExpress","","","","",""
"C2560","Наличие приложения в play market","Evgeniy Prokhorov","9/11/2022 2:13 PM","","","","Зайти на сайт https://aliexpress.ru/","High","","Проверка наличия мобильных приложений","1","Здесь будут описаны тест-кейсы для проверки наличия мобильных приложений в appstore и play market.","1. Нажать кнопку ""приложение"" в заголовке сайта

Expected Result:
Переход на вкладку с предложением скачать на различных площадках.

2. Кликнуть кнопку, которая должна переадресовывать на страницу play market с приложением AliExpress

Expected Result:
Переход на play market где предложат скачать приложение на мобильное устройство.","","","Переход на вкладку с предложением скачать на различных площадках.
","","","Нажать кнопку "приложение" в заголовке сайта
","Master","S9","Accessibility","Evgeniy Prokhorov","9/11/2022 6:53 PM"
"","","","","","","","","","","","","","","","","Переход на play market где предложат скачать приложение на мобильное устройство.
","","","Кликнуть кнопку, которая должна переадресовывать на страницу play market с приложением AliExpress
","","","","",""
"C2561","Выпадающий список ""флаг/язык""","Evgeniy Prokhorov","9/11/2022 3:49 PM","","",""," Зайти на сайт https://aliexpress.ru/","High","","Тестирование локализации","0","Тестирование особенностей локализации, таких как: соотношение страны с её флагом, конвертация валюты.","1. Кликнуть на выпадающий список, на котором изображён флаг.
Expected Result:
Появляются 3 других выпадающих списка (доставка в;язык;валюта).
2. Кликнуть на выпадающий список ""доставка в"".
Expected Result:
Появляется список стран-клиентов.
3. Проверить соотношение стран и флагов.
Expected Result:
Названия стран совпадают с изображениями их флагов.
4. Кликнуть снова на выпадающий список ""доставка в"".
Expected Result:
Список стран свернулся.
5. Кликнуть на выпадающий список ""язык"".
Expected Result:
Появляется список языков.
6. Кликнуть снова на выпадающий список ""язык"".
Expected Result:
Список языков свернулся.
7. Кликнуть на выпадающий список ""валюта"".
Expected Result:
Появляется список валют.
8. Кликнуть снова на выпадающий список ""валюта"".
Expected Result:
Список валют свернулся.
9. В выпадающем списке ""доставка в"" выбрать ""Belarus""; В выпадающем списке ""язык"" выбрать ""русский""; В выпадающем списке ""валюта"" выбрать ""BYR Belarussian Ruble""; Нажать кнопку сохранить.
Expected Result:
Язык стал русским, а цена в бел. рублях.
10. Прокрутить сайт вниз до надписи ""Рекомендуем вам""; кликнуть на первый товар; обратить внимание на краткое описание и цену.
Expected Result:
Переход к странице покупки товара; краткое описание и цена соответствует той, что была на главной странице.","","","Появляются 3 других выпадающих списка (доставка в;язык;валюта).","","","Кликнуть на выпадающий список, на котором изображён флаг.","Master","S9","Other","Evgeniy Prokhorov","9/11/2022 4:22 PM"
"","","","","","","","","","","","","","","","","Появляется список стран-клиентов.","","","Кликнуть на выпадающий список "доставка в".","","","","",""
"","","","","","","","","","","","","","","","","Названия стран совпадают с изображениями их флагов.","","","Проверить соотношение стран и флагов.","","","","",""
"","","","","","","","","","","","","","","","","Список стран свернулся.","","","Кликнуть снова на выпадающий список "доставка в".","","","","",""
"","","","","","","","","","","","","","","","","Появляется список языков.","","","Кликнуть на выпадающий список "язык".","","","","",""
"","","","","","","","","","","","","","","","","Список языков свернулся.","","","Кликнуть снова на выпадающий список "язык".","","","","",""
"","","","","","","","","","","","","","","","","Появляется список валют.","","","Кликнуть на выпадающий список "валюта".","","","","",""
"","","","","","","","","","","","","","","","","Список валют свернулся.","","","Кликнуть снова на выпадающий список "валюта".","","","","",""
"","","","","","","","","","","","","","","","","Язык стал русским, а цена в бел. рублях.","","","В выпадающем списке "доставка в" выбрать "Belarus"; В выпадающем списке "язык" выбрать "русский"; В выпадающем списке "валюта" выбрать "BYR Belarussian Ruble"; Нажать кнопку сохранить.","","","","",""
"","","","","","","","","","","","","","","","","Переход к странице покупки товара; краткое описание и цена соответствует той, что была на главной странице.","","","Прокрутить сайт вниз до надписи "Рекомендуем вам"; кликнуть на первый товар; обратить внимание на краткое описание и цену.","","","","",""
